ID_PERSONA|ID_EMPRESA|MONTO
31|1|3142
63|5|962
60|3|204
83|9|2996
69|5|3418
20|4|2071
97|6|2589
37|4|579
53|4|206
76|6|2878
14|8|1610
42|5|2697
45|9|2011
11|3|2903
66|10|1771
62|3|1921
87|1|3036
95|1|1754
18|8|1514
72|7|1391
45|2|3433
70|8|1221
30|5|2214
74|10|3220
57|3|816
38|8|2810
52|1|3267
65|8|2857
40|7|2637
92|5|1956
1|10|2441
29|6|332
17|3|980
48|6|2382
8|4|783
4|1|3018
96|8|1017
20|2|3260
20|3|1376
18|2|2979
3|3|507
51|1|3155
80|10|362
31|2|2576
13|1|2248
15|8|2718
94|4|3294
80|8|1775
97|3|1994
16|8|628
33|4|3158
25|5|3002
71|9|2352
75|2|1601
41|10|2015
60|9|2309
74|7|519
85|3|2284
64|10|2173
60|10|383
21|7|2021
1|2|1749
5|2|2035
57|1|3210
21|2|2325
85|10|1669
50|8|3126
47|7|208
1|6|3407
1|5|2138
71|5|296
36|5|2714
54|4|3464
15|5|3084
59|7|1206
57|7|3097
11|5|1887
7|3|2247
20|2|2451
73|5|322
96|3|554
68|10|1387
50|9|328
94|2|2975
24|1|3495
61|9|1877
11|7|1629
16|10|2573
37|4|2772
61|2|3473
68|2|3304
92|10|2004
35|7|2356
11|6|1477
82|2|2793
22|4|840
54|2|2838
74|10|1790
43|3|217
81|9|516
30|3|406
37|7|2973
16|1|3459
71|2|3474
46|10|3251
12|8|1406
9|9|640
45|1|2347
30|9|3286
50|10|1016
47|4|1983
41|9|2964
85|10|394
53|4|952
10|5|1749
19|8|3146
68|3|1461
64|4|316
61|4|2456
51|6|2443
38|7|319
23|6|2062
56|5|956
27|3|3468
46|8|2036
61|7|1461
10|6|451
4|2|370
74|3|2914
88|7|2876
83|1|3488
43|1|1739
73|3|619
95|10|774
83|9|330
68|8|2712
99|10|3383
36|6|1275
28|5|2229
44|7|2459
15|4|1325
46|3|2159
21|10|3249
12|5|3295
87|2|1599
92|2|1589
67|3|2917
73|3|1020
14|5|2609
27|4|3412
99|7|1612
63|8|827
5|9|2258
60|7|2223
59|4|2074
93|2|449
89|4|1989
8|2|541
24|1|1564
42|6|2523
67|6|1034
34|9|2875
94|5|2132
7|1|1256
55|2|2930
54|3|1764
19|8|819
56|10|1794
27|6|3449
41|3|2713
14|2|247
80|5|1068
26|9|1390
63|3|1337
97|2|675
42|3|3328
88|2|1997
3|9|1605
82|1|3240
76|9|1948
19|5|2450
73|10|1506
75|8|2002
93|8|3106
79|4|2761
9|4|3095
8|1|2199
6|7|1964
10|3|3496
16|8|2499
38|2|1884
74|5|2177
29|4|537
38|2|2788
28|10|2175
43|8|341
62|5|1327
95|5|3317
14|10|2670
6|2|3464
65|6|3359
24|10|1395
13|1|788
9|6|1160
78|7|2140
24|4|650
42|9|1200
7|9|642
99|4|2266
31|5|2536
60|7|257
25|7|272
23|3|3157
96|2|2302
69|5|1363
26|3|2415
39|8|2491
84|7|2943
97|2|3212
38|7|2509
24|4|1665
44|7|455
35|8|3058
11|5|3323
23|10|3238
31|4|2586
88|8|864
43|9|2928
6|8|3295
83|10|352
62|6|1201
47|6|2013
10|3|2110
67|8|1189
4|8|2459
45|1|542
98|1|2535
11|5|3221
78|5|1989
81|9|2770
22|5|2729
85|4|1872
52|7|2578
90|7|3016
64|6|1206
60|9|1527
70|10|1348
51|8|1412
61|10|892
29|6|3194
93|7|1884
8|5|3010
2|3|2511
71|9|2880
83|2|1132
13|1|2602
65|5|474
7|9|1228
28|5|1409
56|2|2490
38|4|2413
78|8|2506
64|10|2551
8|7|1720
79|1|1745
9|10|1487
42|5|1894
66|8|723
69|5|1481
11|10|2351
9|5|1518
22|8|338
60|7|2330
84|4|1832
28|6|770
35|1|1865
44|6|942
9|6|3131
45|7|1285
22|2|1586
39|7|1321
1|4|1809
1|7|728
52|8|2728
70|10|3157
53|9|2416
75|8|3174
46|2|1643
75|5|1999
12|6|646
41|6|525
100|1|3138
61|3|741
76|6|3168
57|7|1221
23|2|1662
23|7|2422
72|5|2686
48|6|2310
22|6|1502
39|4|1982
23|7|1325
12|2|3107
86|1|2679
75|8|2290
10|10|3173
16|5|2483
42|4|333
67|7|338
95|7|1138
39|7|448
7|6|284
62|3|800
33|7|1694
68|1|3085
16|9|2224
63|3|1233
60|4|3244
52|9|1938
18|6|1849
51|1|1056
40|10|2664
84|9|3147
21|10|508
92|9|1214
39|3|3467
54|8|2728
62|8|2708
30|8|2542
50|5|2890
5|5|2149
23|3|263
74|2|591
34|4|2488
69|7|597
14|7|3063
41|4|3056
17|1|240
15|7|1385
47|3|2786
46|10|320
29|4|1414
61|7|696
21|1|2799
11|8|3440
